HOTRAZONSOCIAL,HOTLOCALIDAD,ANIO,MES,DIAS,Importe,CARGO
TRONADOR,MAR DEL PLATA,2023,7,8,215040,1161
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,12,8,224532,1161
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,9,7,360920,1161
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,5,1,7505,1180
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,9,1,16717,1180
PARADISO PLAYA,VALERIA DEL MAR,2020,1,4,27748,1313
DAZZLER,PUERTO MADRYN,2020,1,5,42110,1156
DAZZLER,PUERTO MADRYN,2020,1,5,0,1156
ALEJANDRO I,SALTA,2022,7,3,104059,1156
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2022,7,2,31930,1156
CABAÑAS PUERTO HAMLET,CARILÓ,2022,3,6,53466,1313
SAVOIA - OSTENDE,OSTENDE,2021,1,10,64400,JJJJ
TRONADOR,MAR DEL PLATA,2023,5,4,53760,1372
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,3,7,60648,35,1731
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,11,5,146123,1180
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,11,1,26468,1180
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,8,2,32670,1314
RESIDENCIA PARQUE BONITO,VILLA GESELL,2020,2,5,37610,1314
DAZZLER,PUERTO MADRYN,2022,3,3,23379,1721
CABAÑAS COIRÓN,VILLA GESELL,2020,1,8,36000,1314
HOTEL DEL SOL,C.A.B.A.,2023,4,4,30240,1314
HOTEL DEL SOL,C.A.B.A.,2023,9,7,137200,1314
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2023,1,8,289638,1180
CABAÑAS COIRÓN,VILLA GESELL,2020,2,7,28350,1180
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2024,1,3,295431,1180
DESIGN BUENOS AIRES,C.A.B.A.,2023,11,3,114550,1333
ALTOS DE MERLO,VILLA DE MERLO,2023,8,5,91000,1372
SAVOIA - OSTENDE,OSTENDE,2023,1,4,78400,1372
SAVOIA - OSTENDE,OSTENDE,2023,2,10,196000,1372
SAVOIA - OSTENDE,OSTENDE,2020,2,12,54600,1372
HOTEL SANTA ELÍA,MAR DEL PLATA,2021,2,11,45496,1372
HOTEL SANTA ELÍA,MAR DEL PLATA,2021,2,5,20680,1372
TRONADOR,MAR DEL PLATA,2021,11,8,44800,1372
SAVOIA - OSTENDE,OSTENDE,2022,2,7,68600,1372
TRONADOR,MAR DEL PLATA,2023,6,3,55800,1360
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,10,7,232050,1140
CABAÑAS PUERTO HAMLET,CARILÓ,2020,1,5,35975,1180
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,1,7195,1180
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,2,3,27165,JJJJ
DESIGN SALTA,SALTA,2021,11,7,59996,51,1340
DESIGN BUENOS AIRES,C.A.B.A.,2022,11,2,40430,1340
DESIGN BUENOS AIRES,C.A.B.A.,2023,7,7,238410,1340
DESIGN BUENOS AIRES,C.A.B.A.,2022,11,2,21383,1340
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,2,5,158204,1340
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,2,22897,1312
ALEJANDRO I,SALTA,2021,11,4,30856,1312
CABAÑAS COIRÓN,VILLA GESELL,2022,2,5,47999,1340
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,10,1,9486,1150
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2021,6,2,11340,1150
