HOTRAZONSOCIAL,HOTLOCALIDAD,ANIO,MES,DIAS,Importe,CARGO
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2021,11,2,23289,1732
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2021,11,2,23289,1732
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,3,37306,1732
ALEJANDRO I,SALTA,2021,10,5,54730,66,1372
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,1,3,26700,1170
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,2,15,107911,1732
DESIGN CALAFATE,CALAFATE,2021,5,3,19983,1340
LOS YÁMANAS,USHUAIA,2021,5,2,21150,1340
PREMIUM TOWER SAN LUIS,CIUDAD SAN LUIS,2023,3,3,48825,1340
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,8,3,88935,1340
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,10,4,75600,1721
TRONADOR,MAR DEL PLATA,2023,11,4,120000,1721
TRONADOR,MAR DEL PLATA,2023,6,3,43200,1732
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2024,4,2,140250,1732
DESIGN BUENOS AIRES,C.A.B.A.,2022,2,4,21514,1732
DESIGN BUENOS AIRES,C.A.B.A.,2022,2,4,19990,1732
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2021,1,6,35220,1732
TRONADOR,MAR DEL PLATA,2022,1,4,32480,1732
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,4,63689,1340
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,8,6,397059,1732
CABAÑAS PUERTO HAMLET,CARILÓ,2021,11,5,41335,83,1721
DESIGN CALAFATE,CALAFATE,2022,5,7,44468,1732
HOTEL SANTA ELÍA,MAR DEL PLATA,2021,10,3,8022,1732
HOTEL SANTA ELÍA,MAR DEL PLATA,2021,11,1,4088,1732
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2023,10,4,132012,1372
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,8,4,63075,1732
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,6,5,148750,1721
ALTOS DE MERLO,VILLA DE MERLO,2022,11,6,86400,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,3,4,25500,1340
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2023,1,8,150000,1360
HOTEL DEL SOL,C.A.B.A.,2023,7,4,52500,1360
DESIGN CALAFATE,CALAFATE,2023,4,3,147506,1721
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,9,1,21980,1721
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2022,2,3,17747,88,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,12,3,62280,1721
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,7,33138,1174
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,1,10,42980,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,1,11,153310,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,1,10,72810,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,1,10,67960,1732
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,4,4,23760,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,4,2,8612,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,4,2,8612,1721
DESIGN BUENOS AIRES,C.A.B.A.,2022,11,3,25728,1721
TRONADOR,MAR DEL PLATA,2022,7,3,32400,1721
TRONADOR,MAR DEL PLATA,2023,3,2,37200,1721
VALERIA,VALERIA DEL MAR,2023,2,4,132900,1372
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2023,11,7,344400,1372
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,3,7,93600,1372
VALERIA,VALERIA DEL MAR,2020,2,6,29400,1721
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,7,2,13613,1732
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,8,7,79338,1732
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,4,4,34208,1180
DESIGN BUENOS AIRES,C.A.B.A.,2023,8,3,91585,1721
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2021,12,2,9010,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,8,3,100461,1372
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2021,4,5,32400,1721
CABAÑAS PUERTO HAMLET,CARILÓ,2020,1,6,53382,JJJJ
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,1,8897,JJJJ
CABAÑAS PUERTO HAMLET,CARILÓ,2022,2,4,81472,1372
CABAÑAS PUERTO HAMLET,CARILÓ,2022,12,3,62415,1372
LOS YÁMANAS,USHUAIA,2023,7,5,366038,1372
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,3,35333,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,8,6,223087,1732
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2020,2,5,16170,1721
PARADISO PLAYA,VALERIA DEL MAR,2024,1,6,854438,1721
DESIGN CALAFATE,CALAFATE,2021,5,3,19983,1722
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,1,1,12061,1732
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,1,1,12061,1732
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,8,55792,1712
CASEROS 248,CORDOBA,2021,2,7,23716,1721
DESIGN BUENOS AIRES,C.A.B.A.,2023,5,3,49904,1721
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2022,6,4,32004,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,3,1,24124,1732
CABAÑAS PUERTO HAMLET,CARILÓ,2022,10,4,66237,1732
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,2,4,65835,1732
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2023,1,4,131655,1732
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,7,7,38896,1721
SAVOIA - OSTENDE,OSTENDE,2020,1,7,42525,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,2,4,65835,1160
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,6,6,109440,1732
ALTOS DE MERLO,VILLA DE MERLO,2022,2,4,57300,1732
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2023,4,3,55800,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,11,3,15765,1711
ALTOS DE MERLO,VILLA DE MERLO,2020,2,7,30240,1721
TRONADOR,MAR DEL PLATA,2022,6,3,36000,1732
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,3,46188,1732
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,7,30926,1174
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,3,9,59958,1180
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,5,4,26648,1180
CABAÑAS COIRÓN,VILLA GESELL,2021,2,8,47600,1732
VALERIA,VALERIA DEL MAR,2020,2,7,29400,1732
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,4,1,6116,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,3,5,93816,1372
HOTEL DEL SOL,C.A.B.A.,2023,4,3,24675,1721
HOTEL DEL SOL,C.A.B.A.,2023,5,2,20550,1721
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2023,1,2,43200,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,6,3,34559,1721
HOTEL DEL SOL,C.A.B.A.,2023,10,1,18900,1721
SAVOIA - OSTENDE,OSTENDE,2020,2,3,14625,1722
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2022,2,5,50855,1722
SAVOIA - OSTENDE,OSTENDE,2022,2,4,39200,1722
SAVOIA - OSTENDE,OSTENDE,2023,2,10,249200,1722
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,7,2,41265,1722
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,12,2,10880,1721
DESIGN SALTA,SALTA,2022,11,4,104218,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,10,1,32528,1721
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2023,10,3,108000,1721
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2023,10,3,132750,1721
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,12,5,114000,1721
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,11,7,105840,1711
CABAÑAS PUERTO HAMLET,CARILÓ,2021,10,3,39833,25,1721
PARADISO PLAYA,VALERIA DEL MAR,2020,1,14,82530,1190
PARADISO PLAYA,VALERIA DEL MAR,2022,12,15,329715,1190
PARADISO PLAYA,VALERIA DEL MAR,2023,1,3,87552,1190
PARADISO PLAYA,VALERIA DEL MAR,2022,2,8,95896,1190
PARADISO PLAYA,VALERIA DEL MAR,2022,3,7,79675,1190
PARADISO PLAYA,VALERIA DEL MAR,2024,2,18,1399950,1190
DESIGN CALAFATE,CALAFATE,2023,10,3,253465,1711
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,8,3,22869,1732
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,5,9,41927,1732
ALEJANDRO I,SALTA,2023,8,7,209401,1732
PARADISO PLAYA,VALERIA DEL MAR,2022,12,7,178260,1372
PARADISO PLAYA,VALERIA DEL MAR,2022,4,5,53109,1372
CABAÑAS PUERTO HAMLET,CARILÓ,2020,3,7,22449,1174
DESIGN SALTA,SALTA,2020,3,3,11658,1721
DAZZLER,PUERTO MADRYN,2022,1,3,22248,1721
TRONADOR,MAR DEL PLATA,2023,7,2,47040,1170
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,9,7,183885,1190
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,5,2,50895,1732
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,1,1,12061,1732
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,5,7,72582,1190
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,12,4,62700,1180
CASEROS 248,CORDOBA,2022,10,3,42417,1180
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2021,12,10,56300,1180
HOTEL DEL SOL,C.A.B.A.,2023,11,3,44100,1180
SAVOIA - OSTENDE,OSTENDE,2023,2,7,291550,1732
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,7,2,56909,1732
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,8,3,70785,1722
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,9,7,61096,1371
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,4,3,17820,1340
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2020,4,6,13584,1340
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,3,2,33023,1340
PARADISO PLAYA,VALERIA DEL MAR,2023,12,9,955336,1340
PARADISO PLAYA,VALERIA DEL MAR,2022,12,6,282746,1340
PARADISO PLAYA,VALERIA DEL MAR,2023,1,3,147834,1340
PARADISO PLAYA,VALERIA DEL MAR,2021,12,4,34920,1721
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,5,4,84059,1732
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,11,4,140582,1732
PARADISO PLAYA,VALERIA DEL MAR,2023,2,3,126052,1372
PARADISO PLAYA,VALERIA DEL MAR,2021,8,2,9261,1372
PARADISO PLAYA,VALERIA DEL MAR,2024,2,3,291500,1372
LOS YÁMANAS,USHUAIA,2022,4,3,34425,1721
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2021,8,3,35700,1372
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,6,4,84059,1372
DESIGN CALAFATE,CALAFATE,2023,8,3,85092,1372
DESIGN CALAFATE,CALAFATE,2023,8,3,65899,1372
CABAÑAS PUERTO HAMLET,CARILÓ,2023,2,7,191919,1732
VALERIA,VALERIA DEL MAR,2023,10,3,114660,1732
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,8,8,104466,1372
DESIGN BUENOS AIRES,C.A.B.A.,2022,8,4,48515,1314
SAVOIA - OSTENDE,OSTENDE,2022,2,4,42000,1314
PARADISO PLAYA,VALERIA DEL MAR,2020,12,1,20207,1360
PARADISO PLAYA,VALERIA DEL MAR,2020,12,3,60621,1360
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,9,2,24840,1372
ALTOS DE MERLO,VILLA DE MERLO,2022,4,3,23940,1372
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2023,1,5,165510,1732
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,5,3,63044,1732
LOS YÁMANAS,USHUAIA,2022,8,4,58320,1732
DESIGN CALAFATE,CALAFATE,2022,8,3,34181,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,3,7,151578,1732
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2021,3,4,32996,1732
PARADISO PLAYA,VALERIA DEL MAR,2022,3,5,49140,1732
DESIGN BUENOS AIRES,C.A.B.A.,2022,7,2,19357,1732
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,2,3,95175,1732
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,2,3,103107,1732
RESIDENCIA PARQUE BONITO,VILLA GESELL,2020,2,6,33602,1732
ALTOS DE MERLO,VILLA DE MERLO,2023,2,4,148800,1732
CASEROS 248,CORDOBA,2023,2,1,15845,1732
ALTOS DE MERLO,VILLA DE MERLO,2022,10,3,87300,1732
VALERIA,VALERIA DEL MAR,2023,10,3,104625,1722
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,1,6,49837,1340
SAVOIA - OSTENDE,OSTENDE,2022,12,7,245700,1191
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,4,3,56290,1711
HOTEL DEL SOL,C.A.B.A.,2023,7,2,26425,1732
HOTEL DEL SOL,C.A.B.A.,2023,7,2,7950,1732
DESIGN CALAFATE,CALAFATE,2021,11,4,49368,1721
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,12,4,62927,1711
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2022,10,7,72844,1721
CABAÑAS COIRÓN,VILLA GESELL,2022,2,8,82284,1721
DESIGN BUENOS AIRES,C.A.B.A.,2023,10,4,181047,1721
LOS YÁMANAS,USHUAIA,2023,11,5,249975,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2020,3,7,35952,1721
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,9,1,8386,1732
AMERIAN CARRILLO,VILLA DEL DIQUE, CÓRDOBA,2023,10,3,81156,1732
SAVOIA - OSTENDE,OSTENDE,2023,3,7,94500,1732
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,11,2,32760,1732
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,1,9949,1732
DESIGN BUENOS AIRES,C.A.B.A.,2022,12,2,24160,1732
CABAÑAS PUERTO HAMLET,CARILÓ,2023,3,11,239044,1372
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,3,16644,1190
CABAÑAS PUERTO HAMLET,CARILÓ,2021,2,8,117992,1190
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,3,5,16180,1372
PARADISO PLAYA,VALERIA DEL MAR,2021,12,3,25560,1372
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,3,1,21600,1180
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,3,3,56290,1180
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,1,5,168750,1190
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2022,3,4,34056,1722
TRONADOR,MAR DEL PLATA,2022,10,4,60000,1372
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2020,2,9,35066,1372
TRONADOR,MAR DEL PLATA,2023,3,4,92400,1372
TRONADOR,MAR DEL PLATA,2023,6,1,23100,1372
TRONADOR,MAR DEL PLATA,2023,5,2,46200,1372
PINARES PANORAMA SUITES & SPA,VILLA CARLOS PAZ,2023,8,2,116386,1340
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,2,2,38700,1340
HOTEL DEL SOL,C.A.B.A.,2022,9,3,24200,1722
CABAÑAS PUERTO HAMLET,CARILÓ,2022,10,3,87374,1372
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,11,2,21133,1372
DESIGN BUENOS AIRES,C.A.B.A.,2023,11,5,381905,1721
CABAÑAS PUERTO HAMLET,CARILÓ,2023,5,3,185718,1732
TRONADOR,MAR DEL PLATA,2022,9,2,29250,1732
TRONADOR,MAR DEL PLATA,2023,8,3,75600,1721
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,2,3,83959,1712
DESIGN SALTA,SALTA,2020,2,2,5764,1712
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,3,3,57713,1731
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,1,8,80136,1732
ALEJANDRO I,SALTA,2021,8,1,5418,1190
LOS YÁMANAS,USHUAIA,2021,8,4,42300,1190
ALEJANDRO I,SALTA,2021,8,3,16254,1190
DESIGN CALAFATE,CALAFATE,2020,4,4,18524,1721
CABAÑAS PUERTO HAMLET,CARILÓ,2023,7,7,210972,1721
TRONADOR,MAR DEL PLATA,2023,2,6,126000,1712
DESIGN CALAFATE,CALAFATE,2021,11,7,102039,1712
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2021,10,7,21861,4616
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2020,3,8,22952,4616
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2022,4,3,30409,4616
SAVOIA - OSTENDE,OSTENDE,2023,3,7,122850,4616
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,9,3,54295,1721
ALEJANDRO I,SALTA,2021,7,2,12638,1721
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,5,1,5899,1732
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,6,5,43335,1721
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2021,2,3,13197,1721
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,1,9945,1314
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,8,5,127050,1314
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2022,11,5,67703,1732
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,3,31976,1372
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2023,10,3,114534,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,1,3,21843,1173
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2021,8,5,55410,1721
TRONADOR,MAR DEL PLATA,2023,7,3,60480,1721
SAVOIA - OSTENDE,OSTENDE,2023,2,7,164063,1190
HOSTERÍA DEL CERRO,VILLA CATEDRAL, SAN CARLOS DE BARILOCHE,2020,2,3,6279,1190
SAVOIA - OSTENDE,OSTENDE,2022,2,7,73500,1190
SAVOIA - OSTENDE,OSTENDE,2021,12,5,39750,1190
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2023,7,2,77760,1721
MÉRIT - PUERTO IGUAZÚ,PUERTO IGUAZÚ - MISIONES,2023,9,4,114345,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,11,4,131516,1372
RESIDENCIA PARQUE BONITO,VILLA GESELL,2022,1,6,64575,1732
HOTEL DEL SOL,C.A.B.A.,2021,10,5,13370,1732
HOTEL DEL SOL,C.A.B.A.,2022,12,5,31500,1732
HOSTAL DEL SOL,SAN BERNARDO,2023,1,7,200419,1732
HOTEL DEL SOL,C.A.B.A.,2022,10,2,11256,1732
HOTEL SANTA ELÍA,MAR DEL PLATA,2023,2,9,56700,1732
TRONADOR,MAR DEL PLATA,2020,2,3,12264,1732
HOTEL DEL SOL,C.A.B.A.,2022,11,2,8540,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,3,3,41724,1372
BAHÍA MONTAÑA RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2022,3,3,43200,1372
DESIGN CALAFATE,CALAFATE,2023,6,4,91604,1372
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,7,3,150300,1340
CABAÑAS PUERTO HAMLET,CARILÓ,2023,1,7,383837,1340
CABAÑAS PUERTO HAMLET,CARILÓ,2021,3,4,23940,1721
DAZZLER,PUERTO MADRYN,2022,1,5,34605,1180
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,3,4,43218,1180
CASEROS 248,CORDOBA,2022,6,3,20659,1180
HOWARD JOHNSON CÓRDOBA,CORDOBA,2023,2,1,12870,1180
CASEROS 248,CORDOBA,2023,1,1,9470,1180
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2023,1,1,9174,1180
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2023,6,2,34048,1180
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,6,7,52920,1180
CABAÑAS PUERTO HAMLET,CARILÓ,2023,4,5,68828,1180
HOWARD JOHNSON CÓRDOBA,CORDOBA,2023,2,1,12870,1180
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2023,10,6,60480,1180
HOTEL PROVIDENCIA,GUAYMALLEN - MENDOZA,2023,10,3,25725,1180
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,10,4,29748,1721
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,9,2,65340,1340
PARADISO PLAYA,VALERIA DEL MAR,2024,1,6,854438,1372
LOS YÁMANAS,USHUAIA,2022,1,5,86685,1721
DESIGN CALAFATE,CALAFATE,2022,1,4,67422,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,10,2,17708,1721
AMÉRIAN - TUCUMÁN,SAN MIGUEL DE TUCUMÁN,2021,11,6,18318,1732
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,8,3,113135,1732
DESIGN CALAFATE,CALAFATE,2023,1,2,62899,1732
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,3,1,13976,1372
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,9,3,74397,1732
DAZZLER,PUERTO MADRYN,2022,5,4,49507,1721
DESIGN BUENOS AIRES,C.A.B.A.,2022,9,2,21318,1721
DESIGN BUENOS AIRES,C.A.B.A.,2022,10,1,10659,1721
TRONADOR,MAR DEL PLATA,2023,1,2,40320,1732
HOTEL PRESIDENTE ****,ROSARIO - SANTA FE,2022,11,2,18347,1732
DESIGN BUENOS AIRES,C.A.B.A.,2022,4,2,12705,1732
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,11,5,66115,1711
DESIGN CALAFATE,CALAFATE,2021,7,3,16935,1711
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,12,2,110487,1711
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2021,2,5,46960,1721
CABAÑAS COIRÓN,VILLA GESELL,2020,2,6,26568,1721
ALEJANDRO I,SALTA,2022,8,3,44172,1721
CABAÑAS COIRÓN,VILLA GESELL,2022,1,4,41144,1721
CABAÑAS COIRÓN,VILLA GESELL,2022,2,1,10286,1721
PARADISO PLAYA,VALERIA DEL MAR,2023,1,6,195152,1721
PARADISO PLAYA,VALERIA DEL MAR,2024,1,7,582000,1721
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2022,1,5,53900,1732
ARENA RESORT HOTEL,FEDERACION, ENTRE RIOS,2023,1,4,83720,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,1,3,52704,1722
LAS CUMBRES,SAN MARTÍN DE LOS ANDES,2023,8,5,197307,1712
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2023,8,3,70610,1721
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2023,8,3,218269,1732
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,8,4,94380,1732
DESIGN BUENOS AIRES,C.A.B.A.,2021,10,1,5355,1732
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2022,8,4,32670,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2021,4,3,21606,1732
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2021,4,3,13362,1732
ALEJANDRO I,SALTA,2021,9,2,12688,1732
DESIGN BUENOS AIRES,C.A.B.A.,2023,11,2,99372,1190
PORTAL DEL IGUAZÚ,PUERTO IGUAZÚ,2022,3,4,25500,1732
PORTASOL APART HOTEL,PINAMAR - MUELLE DE PINAMAR,2021,1,7,60984,1190
CABAÑAS PUERTO HAMLET,CARILÓ,2021,3,7,33418,1190
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,3,2,30196,1190
TRONADOR,MAR DEL PLATA,2022,7,7,84000,1190
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2022,6,3,14700,1732
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2023,3,2,32760,1732
RIVIERA TOWER SUITES,VILLA CARLOS PAZ,2022,10,7,63700,1732
AMÉRIAN CARLOS PAZ,VILLA CARLOS PAZ,2023,11,4,98000,1732
TRONADOR,MAR DEL PLATA,2021,11,2,11200,1711
PURO MOCONA LODGE & SUITES,EL SOBERBIO, MISIONESTEL,2023,5,5,169320,1340
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2022,2,5,30324,1340
HOTEL CHAMONIX,SAN CARLOS DE BARILOCHE,2023,8,3,102150,1190
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,11,2,11900,1360
BAHÍA MANZANO RESORT,VILLA LA ANGOSTURA, NEUQUÉN,2020,3,2,11900,1360
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2020,3,4,15644,1190
PREMIUM TOWER SUITES MENDOZA,MENDOZA,2020,3,4,13840,1190
ALTOS DE BELGRANO,VILLA GENERAL BELGRANO (5194),2022,4,6,75533,1721
DESIGN CALAFATE,CALAFATE,2021,8,5,43620,4,1732
HOWARD JOHNSON PLAZA BUENOS AIRES,C.A.B.A.,2023,5,4,72600,1732
DESIGN BUENOS AIRES,C.A.B.A.,2023,8,4,122629,1732
SAVOIA - OSTENDE,OSTENDE,2020,1,5,41140,1732
CABAÑAS PUERTO HAMLET,CARILÓ,2020,2,14,124558,1721
LOS YÁMANAS,USHUAIA,2020,2,4,23876,1314
ALEJANDRO I,SALTA,2021,10,1,6725,1732
ALEJANDRO I,SALTA,2021,10,1,8776,1732
DESIGN BARILOCHE,SAN CARLOS DE BARILOCHE,2022,1,3,52704,1732
PINARES PANORAMA SUITES & SPA,VILLA CARLOS PAZ,2024,2,5,527433,1732
ALEJANDRO I,SALTA,2022,4,4,69183,1732
